# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 38.123727 58.284600 400.700737 19.061863 2.162608 2.735205 -nan -nan -nan
94209 10 210.207907 888.032585 2338.419335 19.061863 26.260030 62.561475 31.961293 0.000537 8.059508
95233 10 210.631769 907.135415 2346.494007 19.061863 26.686258 62.446780 32.078066 0.000533 8.036423
96257 10 209.374375 895.927905 2335.744552 19.061863 26.888977 63.350635 32.222484 0.000528 8.025362
97281 10 212.982043 915.893944 2369.749009 19.061863 26.658731 63.253550 32.333745 0.000525 8.001942
98305 10 210.936924 910.681793 2350.866819 19.061863 26.833065 63.640723 32.457151 0.000521 7.983860
99329 10 210.947891 905.344485 2349.317174 19.061863 26.648696 63.762368 32.596693 0.000517 7.973400
100353 10 213.039461 911.432101 2371.250914 19.061863 26.761812 63.577269 32.730983 0.000513 7.961441
101377 10 216.830995 917.007469 2413.650036 19.061863 27.260009 64.921648 32.865019 0.000509 7.950180
102401 10 214.560720 914.811385 2389.280218 19.061863 27.074780 64.700165 33.002390 0.000505 7.941207
103425 10 215.901982 923.682170 2405.043762 19.061863 27.335993 64.656716 33.127055 0.000501 7.927446
104449 10 214.983292 921.449313 2398.061326 19.061863 27.580934 64.795930 33.258200 0.000497 7.917240
105473 10 216.783900 922.153169 2424.913029 19.061863 28.563781 65.969935 33.394934 0.000493 7.910337
106497 10 220.485113 940.437952 2452.953093 19.061863 27.566885 66.325669 33.504625 0.000490 7.892661
107521 10 220.512855 938.165741 2447.276437 19.061863 26.905321 65.690776 33.623118 0.000487 7.879187
108545 10 217.640656 930.880730 2424.756903 19.061863 27.594483 66.223183 33.754136 0.000483 7.871919
109569 10 217.109054 935.942561 2425.063993 19.061863 28.219272 65.638042 33.876904 0.000480 7.861609
110593 10 218.476768 929.788495 2432.076751 19.061863 27.478786 65.552515 34.017818 0.000476 7.860580
111617 10 218.897404 937.624462 2438.402427 19.061863 27.714265 65.391369 34.146475 0.000472 7.854218
112641 10 223.417956 950.929993 2483.113759 19.061863 27.659356 66.680405 34.260794 0.000469 7.842119
113665 10 223.432149 957.876300 2485.235006 19.061863 27.879280 67.077598 34.365056 0.000467 7.826574
114689 10 224.802443 949.099708 2491.796805 19.061863 27.085819 69.186132 34.492440 0.000463 7.821663
115713 10 226.970785 971.917945 2522.898742 19.061863 28.132321 67.539639 34.583223 0.000461 7.802275
116737 10 228.610751 959.530460 2535.753315 19.061863 27.738422 67.744782 34.704521 0.000458 7.795821
117761 10 225.862421 968.969619 2510.417065 19.061863 27.976984 67.827165 34.805793 0.000455 7.781365
118785 10 224.600512 968.930265 2497.974097 19.061863 27.996553 67.803448 34.908304 0.000452 7.767962
119809 10 228.242372 974.178544 2536.592652 19.061863 28.240992 68.621248 35.011241 0.000450 7.755286
120833 10 229.226223 969.497350 2546.588574 19.061863 28.258483 68.250570 35.127781 0.000447 7.749087
121857 10 226.248220 970.602489 2514.207954 19.061863 27.969529 68.445138 35.239602 0.000444 7.741276
122881 10 227.388841 977.773308 2538.297778 19.061863 29.378818 68.274812 35.343400 0.000442 7.730503
123905 10 228.972034 991.840113 2550.423979 19.061863 28.967071 69.200581 35.428053 0.000440 7.712883
124929 10 228.983647 987.116985 2550.140759 19.061863 28.922699 69.335416 35.524803 0.000437 7.700281
125953 10 231.295212 986.982149 2567.773297 19.061863 28.313464 68.888530 35.629035 0.000435 7.691306
126977 10 230.502325 992.569131 2571.215806 19.061863 29.576950 69.414041 35.725036 0.000432 7.679366
128001 10 234.149992 997.496771 2604.651888 19.061863 29.239108 69.922101 35.821940 0.000430 7.668276
129025 10 234.688045 1004.461142 2607.308608 19.061863 28.936462 70.017794 35.910874 0.000428 7.654491
130049 10 234.964168 1001.645072 2609.825975 19.061863 28.909366 70.585876 36.008315 0.000426 7.644589
